Year,Month,Day,Rating,MovieID,RatingID,Date,Time,UserID
2023,December,13,1,3365,6637,1/02/2024,4:32:50 AM,SF_5931
2023,December,13,1.2,347,2567,24/02/2024,4:32:50 AM,SF_2917
2023,December,13,1.2,2288,5471,12/11/2024,4:32:50 AM,SF_1112
2023,December,13,1.7,695,3811,28/09/2024,4:32:50 AM,SF_2654
2023,December,13,2,492,8614,4/10/2024,4:32:50 AM,SF_5617
2023,December,13,2,1233,601,28/05/2024,4:32:50 AM,SF_1942
2023,December,13,2.1,815,6341,24/12/2023,4:32:50 AM,SF_1868
2023,December,13,2.1,1548,8696,5/03/2024,4:32:50 AM,SF_4707
2023,December,13,2.2,1016,6534,5/12/2024,4:32:50 AM,SF_3424
2023,December,13,2.4,76,8546,16/07/2024,4:32:50 AM,SF_1652
2023,December,13,2.6,1592,5421,22/01/2024,4:32:50 AM,SF_1364
2023,December,13,2.7,3290,339,4/02/2024,4:32:50 AM,SF_5215
2023,December,13,2.8,83,6952,26/11/2024,4:32:50 AM,SF_690
2023,December,13,2.8,3356,9953,24/02/2024,4:32:50 AM,SF_2750
2023,December,13,2.9,1043,1307,21/09/2024,4:32:50 AM,SF_5944
2023,December,13,2.9,1109,6721,23/04/2024,4:32:50 AM,SF_5430
2023,December,13,2.9,3473,9193,11/04/2024,4:32:50 AM,SF_3529
2023,December,13,3,1841,4093,11/07/2024,4:32:50 AM,SF_1319
2023,December,13,3,2526,3726,25/08/2024,4:32:50 AM,SF_4911
2023,December,13,3.1,2235,5329,3/12/2024,4:32:50 AM,SF_522
2023,December,13,3.3,2006,2202,6/02/2024,4:32:50 AM,SF_5156
2023,December,13,3.3,3295,5997,28/06/2024,4:32:50 AM,SF_3052
2023,December,13,3.4,1003,1485,12/10/2024,4:32:50 AM,SF_4390
2023,December,13,3.4,1844,6661,16/04/2024,4:32:50 AM,SF_4097
2023,December,13,3.9,418,3250,7/08/2024,4:32:50 AM,SF_1710
2023,December,13,3.9,2088,3331,28/02/2024,4:32:50 AM,SF_1618
2023,December,13,3.9,2321,9447,10/06/2024,4:32:50 AM,SF_1447
2023,December,13,4,2368,3182,15/06/2024,4:32:50 AM,SF_2473
2023,December,13,4.1,2967,5289,6/02/2024,4:32:50 AM,SF_2241
2023,December,13,4.2,1089,2169,23/04/2024,4:32:50 AM,SF_498
2023,December,13,4.3,837,2063,22/10/2024,4:32:50 AM,SF_3681
2023,December,13,4.4,3160,7644,13/03/2024,4:32:50 AM,SF_117
2023,December,13,4.6,662,4556,20/03/2024,4:32:50 AM,SF_336
